,date,region,confirmed,X,X2
150,2020-05-08,OTH,24,25.2640575184058,3.2403
151,2020-05-09,OTH,25,25.877814344467602,2.7954
152,2020-05-10,OTH,25,26.5760246898001,2.5023
153,2020-05-11,OTH,26,26.718861627666602,1.9853
154,2020-05-12,OTH,27,27.167414535419198,1.75
155,2020-05-13,OTH,29,27.851558717097696,1.6952
156,2020-05-14,OTH,29,29.323379825188102,2.072
157,2020-05-15,OTH,31,30.0561450959363,1.9659
158,2020-05-16,OTH,34,31.523452813175997,2.2756
159,2020-05-17,OTH,36,34.0759916727893,3.0879
160,2020-05-18,OTH,37,36.6528138067593,3.7188
161,2020-05-19,OTH,42,38.540480095536296,3.8326
162,2020-05-20,OTH,45,42.399461048572704,4.9666
163,2020-05-21,OTH,48,46.2387589994364,5.8191
164,2020-05-22,OTH,53,49.943862796101506,6.3964
165,2020-05-23,OTH,55,54.70758301014399,7.3982
166,2020-05-24,OTH,55,58.217151381366605,7.494
167,2020-05-25,OTH,72,59.6047859804586,6.4395
168,2020-05-26,OTH,73,70.1492006145032,10.5025
169,2020-05-27,OTH,75,76.63399996851109,11.437000000000001
170,2020-05-28,OTH,77,80.7726209523264,10.9014
171,2020-05-29,OTH,78,83.3508948004999,9.6647
172,2020-05-30,OTH,78,84.399042229166,7.9108
173,2020-06-01,OTH,92,84.0112949960242,5.8132
174,2020-06-02,OTH,98,91.55549752247678,8.4318
175,2020-06-03,OTH,111,99.32545886061891,10.5443
176,2020-06-04,OTH,117,111.272450775889,14.3711
177,2020-06-05,OTH,121,121.27278987190701,16.2485
178,2020-06-06,OTH,126,128.416348832247,16.1591
179,2020-06-07,OTH,0,134.197301294902,15.3671
