,date,region,confirmed,1_day_change,3_day_change,7_day_change,1_day_change_rate,3_day_change_rate,7_day_change_rate,last_day,kalman_prediction,infected_rate
22,2020-05-24,DE,174,3,28,56,1.8633540372670732,20.58823529411764,51.85185185185186,164,173.0,1.1508771929824562
23,2020-05-25,DE,181,10,30,63,6.0975609756097615,20.833333333333325,56.75675675675676,174,183.0,1.2210526315789474
24,2020-05-26,DE,185,7,20,67,4.022988505747116,12.422360248447205,58.77192982456141,181,191.0,1.2701754385964912
25,2020-05-27,DE,196,4,21,60,2.20994475138121,12.804878048780477,48.0,185,197.0,1.2982456140350875
26,2020-05-28,DE,207,11,22,60,5.945945945945952,12.643678160919535,44.11764705882353,196,205.0,1.3754385964912281
27,2020-05-29,DE,211,11,26,63,5.612244897959173,14.36464088397791,43.75,207,214.0,1.4526315789473683
28,2020-05-30,DE,220,4,26,50,1.9323671497584627,14.054054054054044,31.055900621118006,211,221.0,1.4807017543859649
29,2020-06-01,DE,237,9,24,56,4.2654028436019065,12.244897959183664,34.14634146341464,220,228.0,1.5438596491228072
30,2020-06-02,DE,250,17,30,63,7.727272727272738,14.492753623188403,36.206896551724135,237,242.0,1.663157894736842
31,2020-06-03,DE,274,13,39,69,5.485232067510548,18.483412322274884,38.12154696132597,250,256.0,1.7543859649122806
32,2020-06-04,DE,283,24,54,89,9.600000000000009,24.545454545454536,48.108108108108105,274,278.0,1.9228070175438596
33,2020-06-05,DE,291,9,46,87,3.2846715328467058,19.409282700421947,44.38775510204083,283,294.0,1.9859649122807017
34,2020-06-06,DE,303,8,41,84,2.8268551236749095,16.39999999999999,40.57971014492754,291,306.0,2.042105263157895
35,2020-06-07,DE,0,12,29,92,4.123711340206193,10.58394160583942,43.601895734597164,303,318.0,2.126315789473684
36,2020-05-02,DW,43,0,0,0,0.0,0.0,0.0,0,0.0,0.0
37,2020-05-03,DW,46,0,0,0,0.0,0.0,0.0,0,50.0,0.0
38,2020-05-04,DW,48,3,0,0,6.976744186046502,0.0,0.0,46,50.0,0.32280701754385965
39,2020-05-05,DW,50,2,0,0,4.347826086956519,0.0,0.0,48,51.0,0.3368421052631579
40,2020-05-06,DW,50,2,7,0,4.166666666666674,16.279069767441868,0.0,50,53.0,0.3508771929824561
41,2020-05-07,DW,56,0,4,0,0.0,8.695652173913038,0.0,50,53.0,0.3508771929824561
42,2020-05-08,DW,60,6,8,0,12.00000000000001,16.666666666666675,0.0,56,57.0,0.3929824561403509
43,2020-05-09,DW,66,4,10,0,7.14285714285714,19.999999999999996,0.0,60,61.0,0.4210526315789474
44,2020-05-10,DW,69,6,16,23,10.000000000000009,32.00000000000001,53.48837209302326,66,67.0,0.46315789473684216
45,2020-05-11,DW,72,3,13,23,4.545454545454541,23.214285714285722,50.0,69,72.0,0.4842105263157895
46,2020-05-12,DW,74,3,12,24,4.347826086956519,19.999999999999996,50.0,72,76.0,0.5052631578947369
47,2020-05-13,DW,76,2,8,24,2.777777777777768,12.12121212121211,48.0,74,79.0,0.519298245614035
48,2020-05-14,DW,77,2,7,26,2.7027027027026973,10.144927536231885,52.0,76,81.0,0.5333333333333333
49,2020-05-15,DW,81,1,5,21,1.3157894736842035,6.944444444444442,37.5,77,82.0,0.5403508771929825
50,2020-05-16,DW,89,4,7,21,5.1948051948051965,9.459459459459453,35.00000000000001,81,84.0,0.5684210526315789
51,2020-05-17,DW,99,8,13,23,9.876543209876543,17.105263157894733,34.84848484848484,89,90.0,0.6245614035087719
52,2020-05-18,DW,111,10,22,30,11.23595505617978,28.57142857142858,43.47826086956521,99,99.0,0.6947368421052632
53,2020-05-19,DW,120,12,30,39,12.12121212121211,37.037037037037045,54.16666666666667,111,111.0,0.7789473684210526
54,2020-05-20,DW,127,9,31,46,8.108108108108114,34.8314606741573,62.16216216216217,120,123.0,0.8421052631578948
55,2020-05-21,DW,136,7,28,51,5.833333333333335,28.282828282828287,67.10526315789474,127,133.0,0.8912280701754386
56,2020-05-22,DW,152,9,25,59,7.086614173228356,22.522522522522515,76.62337662337661,136,143.0,0.9543859649122807
57,2020-05-23,DW,164,16,32,71,11.764705882352944,26.66666666666666,87.65432098765432,152,158.0,1.0666666666666667
58,2020-05-24,DW,170,12,37,75,7.8947368421052655,29.133858267716526,84.26966292134833,164,172.0,1.1508771929824562
